No,description,tags
15,bumrah to du plessis six this is cruel very cruel du plessis stepped down bumrah did well to bowl short foxed him completely but du plessis went with the pull the top edge flies well over third man for a sixbumrah to du plessis six very full outside off not a poor delivery at all but plessis throws his bat and gets the best result one could of a that delivery a six to sweeper coverbumrah to rahane no ball one run back of a length delivery outside off guided to third man highlight of the delivery is not the shot it is that bumrah has overstepped and it is going to be a free hitbumrah to rahane one runs,sports sweeper plessis surnames afrikaner people white south african people six bat over third man length delivery delivery sweeper edge throws highlight overstepped bowl man third back result one length best full
16,rahane wanted to drive towards the offside got it off the inside part to square leg took the first run quite fast and wanted the second as well du plessis was ball watching and denied it but then seeing that rahane had almost made it went for the run had a one on one battle with buttler who underarmed the throw at the bowlers end the fielder missed and du plessis made it to fight another daybumrah to rahane four short and pulled it wont go all the way but that is because rahane did not shift his weight on the back foot pulled it off the front foot and the ball races away the deep midwicket fencebumrah to rahane no run this time rahanes front foot did not move at all he was trying to play away from the body the length was a touch short and it beat him outside off,sports fielder cricket ajinkya rahane marathi people ball fast off short mid-wicket front foot throw mid-wicket drive deep mid-wicket square missed deep first second back end drive run one length play
17,bumrah to rahane no run bumrah is happy to angle it into rahane he drives it off the inside part back to the bowler who parries it to midonmcclenaghan to du plessis no run cutter from mcclenaghan and du plessis stays legside to force it through point does not make any connectionmcclenaghan to du plessis no run slower delivery once again and du plessis rotates himself on the attempted pull he also came down the track and lost the shapemcclenaghan to du plessis six offcutter from mcclenaghan but does not bother du plessis he dances down the track and smokes it over longon for his first six,sports plessis surnames delivery off short drives cutter track off-cutter leg-side leg-side back lost cutter drives attempted
18,mcclenaghan to rahane one run every time a bowler lets out a grunt you can be sure that it is a slower one rahane waits on this one which was bowled from round the wicket runs it to third man for a singlemcclenaghan to rahane six rahane does pack a punch or two short delivery and he has pulled it off the meat of the bat was never trying to keep it down the ball sailed well over the deep backward square leg fence there was a fielder there but he could not do anything about itmcclenaghan to du plessisone run du plessis plants his front foot away from the legstump and then pats this length delivery to point pandya dives and keeps it to one,sports fielder cricket sports teams fielding dismissal bowling ball runs over third man length delivery delivery off leg long-on short front foot square leg bowler leg-stump dives square deep man round first third punch one length backward
19,bumrah to rahane no run length ball and jinx defendsbumrah to rahane four silken from rahane and gets him the result he wanted waited for this back of a length delivery and then placed the back foot punch past the fielder at cover the ball raced away to the sweeper cover fencebumrah to du plessis one run a little mixup but they will get a single anyway du plessis sensibly defended this length delivery towards midon and got what he wanted a singlebumrah to du plessis no runwell flashed at it and was beaten just outside off,sports sweeper fielder cricket sports crease plessis dismissal ajinkya rahane ball length delivery delivery single foot crease cover sweeper beaten mix-up tailender crease mid-on defended back result punch length
20,bumrah to du plessis no run the line was outside off and du plessis wanted to run it down to third man beatenbumrah to du plessis no run length delivery from bumrah on off plessis wanted to go for the offdrive gets it off the inside part of the bat to midonmcclenaghan to rahane no run slower delivery from round the wicket and on the stumps rahane reads it well in time and defends it back to the bowlermcclenaghan to rahane no run fuller outside off rahane drives well but cannot beat cover,sports plessis surnames wicket bat length delivery delivery off drives defends line round third back roll drives run length fingers round the wicket
21,mcclenaghan to rahane four that could have very easily taken down the umpire good length delivery and rahane punched it past the bowler who stuck out his left hand but did not get it to the ball the umpire did well to get himself out of the line of the shot the ball races away to longoff fencemcclenaghan to du plessis one run short not that short for the pull to be executed perfectly but du plessis does well gets it off the meat of the bat and wide of bumrah at deep backward square leg hold on the fielder did well and kept it down to onemcclenaghan to du plessis no run on a driving length outside off du plessis obliges cannot beat rayudu at covermcclenaghan to du plessis no run,sports fielder sports cricket plessis surnames umpire afrikaner people white south african people ball bat length delivery delivery off short punched pull wide umpire line square deep hand good length backward
22,short of length from the kiwi du plessis gets tall and drops in front of midwicket wants a single but it is not therebumrah to du plessis one run back of a length and touch outside off du plessis pats it off the inside part of the bat towards the gully region has an eye contact with rahane and they steal a single with easebumrah to du plessis no run bumrah keeps it away from du plessis outside off he covers his sticks and the keeper has to do the restbumrah to du plessis no run full outside off and plessis reached out on the drive this time no timing whatsoever gets it off the toe of the bat to the fielder at midoff,sports fielder at mid-off1. plessis surnames bat off single front drive gully keeper timing covers back drive eye length full toe
23,bumrah to du plessis no run short of length around off du plessis rides the bounce and punches to coverbumrah to du plessis four and luck is with du plessis this time once again the ball nipped in du plessis played away from the body and ekes out an inside edge it just missed the stumps and rocketed into the fine leg fencebumrah to du plessis no run one slip for bumrah as well angles this one from wide of the crease the ball cuts off the pitch as well du plessis does well to defend jasprit bumrah rightarm medium comes into the attackmcclenaghan to rahane four second slip and rahane would have been back in the hut throws his bat on a length delivery and the thick edge flies towards the third man the fielder was pretty square and rahane will get his second four of the cover,sports cricket in india surname cricket gujarati people jasprit bumrah plessis ball pitch off leg short right-arm stumps fine leg bounce wide throws slip bounce missed second back played one length
24,mcclenaghan to rahane no run back of a length angled across rahane he does not fiddle with itmcclenaghan to rahane no run leading edge and it falls short of pandya at backward point rahane closed the face of the bat and the edge lobbed towards point and if pandya could not reach it with the dive not many could havemcclenaghan to rahane no run back of a length around the ribcage of rahane he hops the bounce and tucks to midwicketmcclenaghan to rahane no runmakes the ball kiss the deck this time keeps it on a length on the stumps rahane turns it around the corner cannot beat the field,sports fielder cricket rahane ajinkya rahane bat length delivery delivery short edge bounce four bounce square second third back face length falls backward
25,mcclenaghan to rahane four low full toss angling into rahane he punches it down the ground and it beats the midoff fielder with easerahane and du plessis are at the crease rahane is on strike mcclenaghan will open the attackthe players are back for the second innings rahane will open the batting faf du plessis at the other end crossfit lover mitchell mcclenaghan has the new ball in his hand one slip in place,sports mumbai ipl crossfit india mitchell mcclenaghan mid-off fielder cricket afrikaner people faf du plessis white south african people ajinkya rahane ball players off mid-off slip crossfit total ipl turns defended second ground back deck length full new ball
26,ishant to harbhajan four its wide too and its been greeted with a flatbatted smack to the extracover fenceishant to harbhajan sixbhajji has beaten it to a pulp swings his bat and deposits it over longoffishant to mcclenaghan one run excellent yorker and mcclenaghan can only chop it off a thick inside edge onto boot ishant to harbhajan one run oh man shortish outside off and harbhajan pummels a cut straight to deep coverishant to harbhajan four,sports mumbai harbhajan bat over off thick inside edge yorker straight beaten edge wide chop extra-cover extra-cover deep crowd end run excellent
27,ishant goes slower ball bowls it well wide of off and is tonked back down the ground longoff has no chanceishant to mcclenaghan one run length ball and mcclenaghan loses shape trying to slog mistimes it towards longon  ishant sharma  is back into the attackrp singh to harbhajan four not to me you dont short ball around off no venom behind it and its been pulled over and wide of short fine leg rp singh to harbhajan four,sports harbhajan ball over off short straight long-off wide back length behind feet full
28,clears his front leg or both his legs and gives it a heave homitchell mcclenaghan left handed bat comes to the creaserp singh to vinay out caught by smith rp singh to harbhajan one run overpitched outside off and slaughtered down to longoffrp singh to harbhajanfour through extracover,sports vinay c smith head vinay harbhajan bat off front catch pull caught catch deep head back high hits hits
29,rp singh to harbhajan no run right in the blockhole outside off and harbhajan cant do muchrp singh to harbhajan wide slants one well wide of off that seems to be rp singhs formula for this over but sadly hes pushed it far too wide rp singh  is back into the attackmitchell marsh to vinay two runs walks well across off gets down on his back knee and smears a very full ball wide of longon,sports harbhajan ball off pushed wide blockhole line knee back one length full
30,mitchell marsh to vinay six its almost the similar ball like the previous one maybe not as wide and vinay has muscled the flatbatted forehand over extracovermitchell marsh to vinay no run thats just premeditated sloggingmitchell marsh to harbhajan one run crunched off the back foot but straight to sweeper cover ,sports sweeper vinay ball over off long-on foot straight sweeper wide hand back one length previous playing
31,mitchell marsh to vinay one run slower shorter ball in line with the stumps and its been pulled away behind square vinay held his shot well despite being deceived by the lack of pace and just rolled the wrists on top to help it awaymarsh looks in some discomfort trying to stretch the legs on the way to his markmitchell marsh to vinay no run slower back of a length delivery around off defended from the creasemitchell marsh  is back into the attackmurugan ashwin to harbhajan no run punches it wide of the bowler who parries it towards extracover,sports cricket bowling vinay ball shot length delivery delivery wrists stumps bowler pace wide line defended back length behind
32,murugan ashwin to harbhajan no run bhajji has smoked another one but this is straight back down the pitch and has shattered the stumps at the nonstrikers end murugan just tosses in an enquiry  not quite sure whether he got a boot no he didntmurugan ashwin to harbhajan four clubbed back down the ground very full from murugan and harbhajan lays into it drills it hard over the bowlers headmurugan ashwin to harbhajan no run shortish and turning away and bhajji shoulders armsmurugan ashwin to vinay one run lots of flight around off but a touch too full down to longoff ,sports cricket harbhajan sports dismissal pitch over stumps straight turning hard flight back one full
33,murugan ashwin to vinay no run flatter quicker wrong un which beats vinay for pace on his attempted slashashwin to vinay one run another leggie nudged wide of square leg who swoops in quick but his throw is wide of the stumps dhoni tries his smooth flick back on but cant really execute it like he usually does a better throw though and vinay was gone ashwin to harbhajan one run tries the legbreak and lands it perfectly around off softly pushed wide of cover for a ashwin to harbhajan four,sports vinay leg square leg cover throw pushed pace wide spinner flick square back quick attempted
34,ashwin to vinay one run drops it slightly short and vinay pulls it to deep midwicket to get off the markashwin to vinay no run looped up outside off and is hacked back off the inside half to the bowlervinay kumar right handed bat comes to the creasethe umpires decide to usher in the second strategic timeoutashwin to rayudu out caught by du plessis,sports cricket cricket equipment vinay kumar crease wicket ball off short mid-wicket mid-wicket bowler caught late-cut deep mid-wicket hacked deep first second back pulls length feet backward half umpires day
35, ashwin to rayudu thats outcaughtravichandran ashwin rightarm off break comes into the attackmurugan ashwin to harbhajan no run the first real decent ball of the over lures the batsman forward outside off bhajji is tempted to drive but is foxed by the turn slices it off a thick outside edge towards backward point who is nearly left embarassed by the spin on the ballmurugan ashwin to harbhajan two runs lobs a full toss which drifts in towards leg and harbhajan flicks it through the midwicket region for a brace,sports mumbai forward cricket ravichandran ashwin ashwin ravichandran harbhajan ball off right-arm backward point straight point batsman edge drive spin forward first drive backward full
36,murugan ashwin to harbhajan no run goes deep in the crease and punches it wide of cover who dives and stopsmurugan ashwin to rayudu one run third short ball in a row and slapped to deep covermurugan ashwin to rayudu no run oooh the googlymurugan ashwin to rayudu no run on the shorter side outside off the turn adds to the width but rayudu places his cut straight to backward point,sports cricket in india cricket ball short mid-wicket crease cover straight mid-wicket wide dives flicks crease deep third region turn slapped side backward
37,brilliant spell from rajat bhatia heres sagar chawla to take you through the end of this inningsr bhatia to rayudu one run pulls his length back a little rayudu punches past the bowler and sneaks through for a singler bhatia to harbhajan one run drifts this one into the pads flicked through midwicketr bhatia to harbhajan no run absolutely no pace on offer length on middle harbhajan singh smothers it into the legsider bhatia to harbhajan no run back to offpace again bhajji taps it to the offside,sports rajat bhatia cricket harbhajan singh harbhajan bhatia bowler pace spell back end pulls one length
38,r bhatia to rayudu one run alters his pace this time  rayudu drives powerfuly through coverr bhatia to rayudu no run the legcutter from rajat bhatia rayudu seeks to cut ends up chopping it off the bottom edge right in front of msmurugan ashwin to harbhajan no run short and spinning away outside off harbhajan miscues the cut to covermurugan ashwin to rayudu one  run plenty of room on offer but the ball aint coming on the bat nicely rayudu had to wait for ages slaps it past point and scampers to the other endmurugan ashwin to harbhajan one runtapandrun single from bhajji drops this one towards point and hustles for a quick single,sports rajat bhatia bhatia cricket in india cricket ball bat off short front chopping point drives pace leg-cutter room drives spinning
39,murugan ashwin to harbhajan no run fired full and on the pads nutmegs harbhajan who fails to lay bat on ballmurugan ashwin to harbhajan two runs lands it on a length and gets it to turn away from the righthander bhajji camps on the back foot and latecuts behind backward point mitch marsh does well to slide in the deep saved a couple there one slip in place for bhajjimurugan ashwin to rayudu one run pushed through quicker outside off rayudu drives past extra cover for an easy single,sports mitch marsh harbhajan bat single foot cover point pushed drives slip fired couple extra back turn quick drives one length behind backward full
40,r bhatia to harbhajan no run good length outside off punched straight to backward pointr bhatia to rayudu one run on the pads this time driven down to longonr bhatia to rayudu four errs in length and pays the price slips it full outside off rayudu drives and slots it to the left of midoff way she goes into the fence muchneeded boundary thatr bhatia to harbhajan one run back of a length curled away outside off harbhajan cuts it through cover off the mark with a singler bhatia to harbhajan no run angled in from a length harbhajan singh bunts it down the pitch,sports cricket harbhajan singh harbhajan off punched straight pads drives boundary mark back drives good length backward full
41,r bhatia to harbhajan no run offcutter outside off safely pushed into the offsideharbhajan singh right handed bat comes to the creasemurugan ashwin to shreyas gopal out caught by rahane  the first wicket for the debutant and murugan ashwin wins the battle of legspinners tosses the ball up outside off and tempts shreyas gopal to race down the pitch request obliged but he could only find rahane at longoff who grabs a good low catch murugan ashwin to shreyas gopalmurugan ashwin to shreyas gopal no run flatter outside off shreyas,sports war gopal c rahane b murugan cricket harbhajan singh shreyas gopal wicket ball off pushed off-cutter caught first wins good
42,gopal backs away and thumps hard that one aint clearing the offside ring more power than timingmurugan ashwin to rayudu one run flighted on middle eased down to longonmurugan ashwin to shreyas gopal one run on middle and leg shreyas gopal rocks back and pulls it through midwicketmurugan ashwin to shreyas gopal no run another shortish leggie shreyas gopal slaps with a flatbat couldnt get it past covermurugan ashwin to rayudu one run starts with a legspinner shortish in length rayudu backs away and powers it through cover,sports cricket in india shreyas gopal cricket leg right-arm middle flighted back pulls one
43,r bhatia to shreyas gopal no run hint of width on offer the slower ball infact shreyas gopal chops and picks out backward pointr bhatia to shreyas gopal no run good length outside off another solid defensive stroke into the offsider bhatia to shreyas gopal no run width on offer but shreyas gopal is circumspect of the movement tapdefends into the offside,sports another solid defensive stroke rajat bhatia cricket in india cricket indian premier league bhatia shreyas gopal ball stroke defensive leggie figures good length backward
44,bhatia to shreyas gopal no run driven to midoffr bhatia to rayudu one run sits up on a length outside off rayudu punchily drives wide of midoff and sets off for a risky single just manages to get in  with a desperate dive beating the throw from the fieldsmanr bhatia to rayudu no run topnut from rajat bhatia pitched on a perfect length and got it to nip away in the corridor of uncertainty rayudu was trying to guide it down to third man and is beaten by the movementright ,sports mumbai rajat bhatia cricket in india cricket ambati rayudu rajat bhatia bhatia mumbai indians third man off throw drives beaten mid-off wide pitched dive beating man third safe back start drives side length
45,mitchell marsh to shreyas gopal no run shortish and wide of off shreyas gopal rises on his toes to punch towards pointmitchell marsh to rayudu one run very full and drifting down leg rayudu nearly goes off balance trying to flick manages an inside edge to midwicketmitchell marsh to shreyas gopal one run waits for the length ball and opens the bat face to run it down to third manmitchell marsh to shreyas gopal no run fullish around off shreyas gopal gets into a bit of tangle as he is stuck on the back foot manages to tap it towards point,sports cricket in india shreyas gopal cricket indian films ball bat off drifting edge wide third back face punch toes run length full
46,mitchell marsh to rayudu one run a little too straight is mitch marsh and rayudu is content with a soft drive to midon a quick single takenmitchell marsh to rayudu four dont bowl there full toss on the pads easy peasy for rayudu who flicks behind square to fetch his first boundaryr bhatia to shreyas gopal no run defended with soft hands into the legsider bhatia to shreyas gopal no run this time he watches the ball all along and pushdrives to coverpointr bhatia to shreyas gopal no run another soft leading edge as shreyas gopal seeks,sports ipl rayudu mitch marsh cricket in india cricket shreyas gopal indian premier league ball single straight edge drive flicks boundary ipl square defended bowl first drive hands quick behind
47,r bhatia to shreyas gopal no run slower length ball in the outside off channel shreyas gopal looks to flick could only manage a leading edge which rolls to coverr bhatia to shreyas gopal no run length outside off left aloneshreyas gopal right handed bat comes to the creaser bhatia to pollard out lbw,sports cricket in india shreyas gopal cricket indian films ball off front edge back run one length umpires
48,r bhatia to pollard thats out lbwrajat bhatia rightarm medium comes into the attackmitchell marsh to rayudu no run this drive off the front foot from rayudu did not make the sound he would have wanted clearly a mistimed one fielded on the followthroughmitchell marsh to rayudu wide splayed down the legside and it has been called a wide for a valid reason,sports rajat bhatia sports cricket bhatia umpire off leg right-arm front foot middle drive wide umpire mistimed fielded leg-side leg-side back drive finger called playing
49,mitchell marsh to rayudu no run back of a length from marsh this time well outside off rayudu ignores itmitchell marsh to pollard one run very full on the middle and leg pollard flicks it to backward square legmitchell marsh to pollard no run what i saw clearly the umpire did not see it for it was plumb full toss that curled in a touch pollard missed it completely,sports marsh square leg6.3mitchell marsh middle umpire flicks square missed back length backward full
50,mitchell marsh to pollard no run back of a length delivery around off pollard prods across and pats to the left of the bowlermitchell marsh to rayudu one run length around middle and leg rayudu works to the right of midwicket and will get to the other endishant to pollard no run pollard uses his reach and gets his front leg in the line of the delivery defends towards the offsideishant to pollard no run look at that bounce pitched on a length and almost hit pollards flap of the front pad as he got his leg across no extra there the fielder at square leg was quick,sports mitchell marsh fielder at square leg was quick5.4ishant pollard fielding bowling length delivery delivery leg mid-wicket front middle square leg mid-wicket defends pitched pad line square extra hit back hit length
51,ishant to pollard no run back of a length outside off line is closer this time still fails to lure pollardthere is a leg gully in place was brought in a couple of deliveries agoishant to pollard wide very wide pollard is not interested in at all wide calledishant to pollard no run pollard does not offer a shot and the ball rolls off his thigh pad dead ball called ishant to pollard  wides bouncers are good but only so long as they dont trouble the keeper too high and pollard left it after bending back dhoni was not tall enough to gather this one in his leap,sports scoring bowling wide ball shot off leg wide gully bouncers line couple thigh back deliveries deliveries high one good length dead ball dead
52,ishant to rayudu one run once again ishant cuts the batsman rayudu took the bottom hand off the bat as he tucked behind square on the onsideishant to rayudu no run well bowled very well bowled tight on the stumps rayudu defends after getting a touch forwardkieron pollard right handed bat comes to the creasemitchell marsh to buttler out caught by ashwin,sports cuts rayudu slip fielder cricket bowled dismissal batting ishant sharma ball bat off edge defends slip caught square bowl hand run-out face good behind previous full
53,mitchell marsh to buttler thats outcaughtmitchell marsh to rayudu one run direct hit and buttler was back in the hut rayudu dabbed this back of a length delivery to gully and after a bit of hesitation set off buttler was running to the danger end an underarm flick from rahane missed the target and buttler survivesmitchell marsh to rayudu no run back of a length and rayudu lets it go to the keepermitchell marsh to rayudu no run waits on this one and tries to tuck it past square leg cannot beat the field,sports ashwin b mitchell marsh mitchell marsh indian films length delivery delivery running swing gully flick tuck square missed danger hit back hit one length
54,mitchell marsh to rayudu no run short delivery outside off rayudu guides it to slipambati rayudu right handed bat comes to the creasemitchell marsh to pandya out caught by dhonimitchell marsh to pandya thats out caught,sports mitchell marsh cricket ambati rayudu dismissal pandyan dynasty delivery off short catches pull edge caught extra played high drop last previous order
55,ishant to buttler no run length outside off buttler does not mind leaving that onejos buttler right handed bat comes to the creaseishant to simmons out bowledthe ball was angled in and simmons tried to flick it across but missed the line there was enough gap between the bat and the pad for the ball to sneak through and uproot the legstumpishant to simmons thats out bowled,sports simmons cricket indian premier league ishant sharma jos buttler ball bat pad t20 flick gap missed world length umpires
56,ishant to pandya leg byes one run ishant was appealing for an lbw but it might have been doing down the legside the ball was a bit full and curled in pandya missed the flick and was rapped on the front padishant to pandya no run ishant does well this time keeps it tight on the stumps pandya defends it off the inside part of the bat the ball rolls along the pitchishant to pandya four not as poetic as the previous one but who minds as long as they fetch runs pandya backed out and flashed hard this time top edge flew away from third man one bounce over the ropes two in two for pandyaishant to pandya four finally pandya justifies,sports cricket scoring pandya ishant sharma leg bye bye ball over off leg front edge bounce defends bounce appealing flick missed third hard two one previous full
57,rp singh to simmons no run angling away from a shortish length once again simmons gets an underedge and the keeper who was caught wrongfooted does well to save a few runsrp singh to simmons no run shortish and outside off simmons does not move his feet and pokes at it was never going to make the willow meet the leather beatenrp singh to pandya one run pandya wanted to cover rp singhs angle by trekking towards the line of the delivery the ball was a touch short and it curled in pandya does well to tuck it to square leg,sports simmons fielder cricket batting simmons dismissal ball over short cover outfield line tuck square under-edge length feet
58,rp singh to simmons one run nice roll of wrists from the caribbean waits for the ball and clips it towards square legrp singh to simmons six charges down the track and lofts it over the bowlers head with a straight bat just about clears the fence down the ground first six of the ipl rp singh to simmons no run full from rp singh just outside off inviting simmons to drive he does so but off the toe towards midoffishant to pandya no run and again inward angle and extra bounce causes some trouble for pandya he is hit near the abdomen area in forward defence,sports ipl simmons square leg2.2rp singh head caribbean cricket batting dismissal ishant sharma simmons ball six over off wrists straight bowler bounce fence track bounce square extra first hit head hit roll full toe
59,ishant to pandya no run ishant hurls it on a length around off pandya is anxious to get off the mark taps it in front of cover and sets off simmons is not interestedishant to pandya wide wayward line from ishant once again plays it down the legside there was a lot of bounce and it eluded pandyas glance dhoni collects it near his face after moving to his leftishant to pandya no run away movement for ishant and pandya throws his bat on the driveishant to pandya no run,sports simmons cricket in india cricket indian premier league ishant sharma pandyan dynasty pandya bat off single front cover bounce throws bounce line face collects length
